2017-09-07 14:09:44   mouse movement trajectory: ( 796, 80 )
2017-09-07 14:09:44   mouse movement trajectory: ( 284, 234 )
2017-09-07 14:09:44   mouse movement trajectory: ( 294, 234 )
2017-09-07 14:09:44   mouse movement trajectory: ( 294, 234 )
2017-09-07 14:09:44   mouse movement trajectory: ( 328, 256 )
2017-09-07 14:09:44   mouse movement trajectory: ( 328, 256 )
2017-09-07 14:09:44   mouse movement trajectory: ( 328, 256 )
2017-09-07 14:09:44   mouse movement trajectory: ( 328, 256 )
2017-09-07 14:09:44   mouse movement trajectory: ( 330, 258 )
2017-09-07 14:09:44   mouse movement trajectory: ( 798, 80 )
2017-09-07 14:09:44   mouse movement trajectory: ( 330, 260 )
2017-09-07 14:09:44   mouse movement trajectory: ( 802, 86 )
2017-09-07 14:09:44   mouse movement trajectory: ( 330, 262 )
2017-09-07 14:09:44   mouse movement trajectory: ( 330, 262 )
2017-09-07 14:09:44   mouse movement trajectory: ( 330, 262 )
2017-09-07 14:09:44   mouse movement trajectory: ( 804, 154 )
2017-09-07 14:09:44   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 798, 230 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 794, 274 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 268 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 272 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 272 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 272 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 274 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 274 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 274 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 274 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 278 )
2017-09-07 14:09:45   mouse movement trajectory: ( 330, 278 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 278 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 278 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 280 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 280 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 280 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 280 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 284 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:46   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 330, 286 )
2017-09-07 14:09:47   mouse movement trajectory: ( 788, 336 )
2017-09-07 14:09:47   mouse movement trajectory: ( 782, 382 )
2017-09-07 14:09:47   mouse movement trajectory: ( 780, 402 )
2017-09-07 14:09:47   mouse movement trajectory: ( 772, 448 )
2017-09-07 14:09:47   mouse movement trajectory: ( 766, 472 )
2017-09-07 14:09:47   mouse movement trajectory: ( 762, 490 )
2017-09-07 14:09:47   mouse movement trajectory: ( 762, 492 )
2017-09-07 14:09:47   mouse movement trajectory: ( 760, 496 )
2017-09-07 14:09:47   mouse movement trajectory: ( 760, 498 )
2017-09-07 14:09:47   mouse movement trajectory: ( 760, 500 )
2017-09-07 14:09:48   mouse movement trajectory: ( 760, 508 )
2017-09-07 14:09:48   mouse movement trajectory: ( 760, 516 )
2017-09-07 14:09:48   mouse movement trajectory: ( 760, 518 )
2017-09-07 14:09:48   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:48   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:48   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:48   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:48   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:48   mouse movement trajectory: ( 746, 574 )
2017-09-07 14:09:48   mouse movement trajectory: ( 728, 492 )
2017-09-07 14:09:48   mouse movement trajectory: ( 728, 492 )
2017-09-07 14:09:48   mouse movement trajectory: ( 728, 492 )
2017-09-07 14:09:48   mouse movement trajectory: ( 728, 492 )
2017-09-07 14:09:48   mouse movement trajectory: ( 728, 492 )
2017-09-07 14:09:48   mouse movement trajectory: ( 722, 408 )
